state_name,state,state_fips,year,Population,Employment,Unemployment,Unemploymentrate,MarginallyFoodInsecure,FoodInsecure,VeryLowFoodSecure,GrossStateProduct,Numberoflowincomeuninsuredc,PercentLowIncomeUnisuredChil,Personalincome,Workerscompensation,AFDCTANFRecipients,AFDCTANFCaseloads,FoodStampSNAPRecipients,FoodStampSNAPCaseloads,AFDCTANFBenefitfor2Personf,AFDCTANFBenefitfor3personf,AFDCTANFbenefitfor4personf,FSSNAPBenefitfor1personfam,FSSNAPBenefitfor2personfam,FSSNAPBenefitfor3personfam,FSSNAPBenefitfor4personfam,AFDCTANF_FS2PersonBenefit,AFDCTANF_FS3PersonBenefit,AFDCTANF_FS4PersonBenefit,ChildonlyAFDCTANFcases,SSIFederal,SSIState,TotalSSI,SSI_FSBenefit,NumberofPoorthousands,PovertyRate,GovernorisDemocrat1Yes,NumberinLowerHouseDemocrat,NumberinLowerHouseRepublican,FractionofStateHousethatis,NumberinUpperHouseDemocrat,NumberinUpperHouseRepublican,FractionofStateSenatethatis,EITCPhaseInRateNoDependents,EITCPhaseInRate1Dependent,EITCPhaseInRate2Dependents,EITCPhaseInRate3Dependents,EITCMaximumCreditNoDependent,EITCMaximumCredit1Dependent,EITCMaximumCredit2Dependents,EITCMaximumCredit3Dependents,EITCPhaseOutRateNoDependent,EITCPhaseOutRate1Dependent,EITCPhaseOutRate2Dependents,EITCPhaseOutRate3Dependents,StateEITCRate,WisconsinEITCRate2Dependents,WisconsinEITCRate3Dependents,RefundableStateEITC1Yes,FederalMinimumWage,StateMinimumWage,SSIrecipients,SSIrecipientsAged,SSIrecipientsBlind,SSIrecipientsDisabled,Medicaidbeneficiaries,WICparticipation,NSLPFreeParticipation,NSLPReducedParticipation,NSLPTotalParticipation,SBPFreeParticipation,SBPReducedParticipation,SBPTotalParticipation,BW
AL,1,1,1980,3893888,1521183,148106,8.9,,,,36142,,,31037100,15220,179602,62733,582862.8,193482.8,89,118,148,63,115,165,209,204,283,357,,238,0,238,279,810,21.2,1,101,4,.96,35,0,1,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
AK,2,2,1980,401851,169397,18008,9.6,,,,15282,,,6285000,4897,15135,6158,28693.25,9837.166999999999,400,457,514,98,180,258,327,564,681,790,,238,235,473,533,36,9.6,0,25,14,.64,9,11,.45,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.6,,,,,,,,,,,,,
AZ,3,4,1980,2718215,1146371,81630,6.6,,,,30764,,,26477600,60845,51245,18312,195560.4,65209.75,156,202,244,63,115,165,209,271,356,429,,238,0,238,279,354,12.8,1,18,42,.3,14,16,.4666666666666667,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
AR,4,5,1980,2286435,922894,75386,7.6,,,,20276,,,17388300,12021,84958,29457,300828.9,102997.8,133,161,188,63,115,165,209,248,326,390,,238,0,238,279,484,21.5,1,94,6,.9399999999999999,35,0,1,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.55,,,,,,,,,,,,,
CA,5,6,1980,23667902,10787673,791379,6.8,,,,327958,,,284308000,367598,1386871,476146,1492669,542672.2,382,473,563,63,115,165,209,432,546,653,,238,182,420,407,2619,11,1,50,30,.63,25,14,.6410256410256411,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
CO,6,8,1980,2889964,1405381,86267,5.8,,,,38332,,,32050800,66252,76821,27711,163414.8,61720.08,229,290,351,63,115,165,209,325,418,504,,238,55,293,318,247,8.6,1,27,38,.42,13,22,.3714285714285714,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,1.9,,,,,,,,,,,,,
CT,7,9,1980,3107576,1496088,92202,5.8,,,,40770,,,38493900,17522,139078,47906,170002.1,64692.58,383,475,553,63,115,165,209,433,547,646,,238,102,340,351,255,8.300000000000001,1,103,48,.6821192052980133,26,10,.7222222222222222,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.12,,,,,,,,,,,,,
DE,8,10,1980,594338,262384,21571,7.6,,,,7898,,,6430500,2031,32264,11635,102564.4,41716.42,197,266,312,63,115,165,209,302,401,477,,238,0,238,279,68,11.8,0,21,20,.5121951219512195,13,8,.6190476190476191,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2,,,,,,,,,,,,,
DC,9,11,1980,638333,298261,23736,7.4,,,,19862,,,8447400,8694,85202,30662,51611.58,19673.25,225,286,349,63,115,165,209,322,415,503,,238,15,253,290,131,20.9,.,,,,,,,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
FL,10,12,1980,9746324,4014765,259581,6.1,,,,97899,,,99826800,65505,256179,93522,911952.6,340307,150,195,230,63,115,165,209,265,351,420,,238,0,238,279,1692,16.7,1,89,31,.7416666666666667,29,11,.725,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
GA,11,13,1980,5463105,2373390,160196,6.3,,,,56229,,,47192800,14159,221419,84616,627134.4,210034.8,137,164,193,63,115,165,209,252,329,394,,238,0,238,279,727,13.9,1,159,21,.8833333333333333,51,5,.9107142857142857,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,1.25,,,,,,,,,,,,,
HI,12,15,1980,964691,416797,22051,5,,,,13380,,,11483900,9213,60091,19441,102220.5,39553.33,390,468,546,84,158,226,287,517,639,755,,238,15,253,337,81,8.5,1,42,9,.8235294117647058,18,7,.72,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
ID,13,16,1980,943935,396448,32291,7.5,,,,9916,,,8394900,10440,20953,7781,60759.33,22184,260,323,367,63,115,165,209,347,441,515,,238,74,312,331,138,14.7,1,20,50,.2857142857142857,16,19,.4571428571428571,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
IL,14,17,1980,11426518,5101693,452846,8.199999999999999,,,,145264,,,125211000,28506,671780,213781,903183.7,337725.2,238,288,350,63,115,165,209,331,416,504,,238,0,238,279,1386,12.3,0,89,88,.5028248587570622,32,27,.5423728813559322,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.3,,,,,,,,,,,,,
IN,15,18,1980,5490224,2372211,253333,9.6,,,,58870,,,51418700,14018,156876,54955,352962.6,118792,195,255,315,63,115,165,209,301,393,479,,238,0,238,279,645,11.8,0,46,54,.46,21,29,.42,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
IA,16,19,1980,2913808,1348855,86301,6,,,,34582,,,27993700,3579,103694,37833,140916.3,54543.92,292,360,419,63,115,165,209,369,467,552,,238,0,238,279,311,10.8,0,44,56,.44,22,28,.44,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
KS,17,20,1980,2363679,1134614,52811,4.4,,,,28298,,,23869200,6962,67762,25790,90246.25,35844.42,290,345,390,63,115,165,209,368,456,532,,238,0,238,279,215,9.4,1,56,69,.448,18,22,.45,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
KY,18,21,1980,3660777,1526920,131904,8,,,,37017,,,29871600,50412,167478,62922,467997,151549.3,162,188,235,63,115,165,209,277,346,423,,238,0,238,279,701,19.3,1,75,25,.75,29,9,.7631578947368421,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.15,,,,,,,,,,,,,
LA,19,22,1980,4205900,1664309,122392,6.9,,,,63925,,,37368800,9038,212602,68644,569479.8,192050.9,110,152,187,63,115,165,209,225,317,389,,238,0,238,279,868,20.3,0,96,9,.9142857142857143,39,0,1,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
ME,20,23,1980,1124660,467389,38574,7.6,,,,10263,,,9653500,1074,60396,21364,139085.8,52945.75,207,280,352,63,115,165,209,309,411,505,,238,10,248,286,158,14.6,1,77,73,.5133333333333333,13,19,.40625,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
MD,21,24,1980,4216975,2007042,141183,6.6,,,,47522,,,48503300,28816,212252,77105,323607.4,132586.4,211,270,326,63,115,165,209,312,404,487,,238,0,238,279,389,9.5,1,124,16,.8857142857142857,40,7,.851063829787234,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
MA,22,25,1980,5737037,2706635,161636,5.6,,,,69684,,,61388700,33163,350304,124396,453090.8,168950.4,314,379,444,63,115,165,209,384,480,569,,238,137,375,375,542,9.5,1,129,30,.8113207547169812,34,6,.85,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
MI,23,26,1980,9262078,3773197,530409,12.3,,,,104134,,,94684400,102549,684632,225095,813102.6,320167.9,350,425,501,63,115,165,209,410,512,609,,238,24,262,296,1194,12.9,0,70,40,.6363636363636364,24,14,.631578947368421,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
MN,24,27,1980,4075970,1983321,121479,5.8,,,,50219,,,42002100,29374,135121,49903,170621.7,68338.25,344,417,486,63,115,165,209,405,506,599,,238,34,272,303,342,8.699999999999999,0,67,67,.5,47,20,.7014925373134329,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.9,,,,,,,,,,,,,
MS,25,28,1980,2520638,978337,78483,7.4,,,,21353,,,18097500,7071,173052,57691,496183.8,151713.9,60,96,120,63,115,165,209,175,261,329,,238,0,238,279,591,24.3,1,116,4,.9666666666666667,48,4,.9230769230769231,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
MO,26,29,1980,4916686,2139848,166196,7.2,,,,52420,,,46120200,12036,199279,67674,335149.1,120322.2,199,248,290,63,115,165,209,304,388,462,,238,0,238,279,625,13,1,117,46,.7177914110429447,21,11,.65625,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
MT,27,30,1980,786690,352700,22991,6.1,,,,8925,,,7211100,23429,19313,6901,43045.17,15768.42,193,259,331,63,115,165,209,300,396,490,,238,0,238,279,102,13.2,1,55,45,.55,26,24,.52,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.5,,,,,,,,,,,,,
